open,high,low,close,date,x,y
12.81,13.43,12.5,13.38,2010-04-01T00:00:00,1270080000000,13.38
13.38,13.41,13.11,13.35,2010-05-03T00:00:00,1272844800000,13.35
13.36,13.75,13.34,13.61,2010-06-01T00:00:00,1275350400000,13.61
13.61,14.96,13.45,14.94,2010-07-01T00:00:00,1277942400000,14.94
14.9,15.16,14.9,15.15,2010-08-02T00:00:00,1280707200000,15.15
15.15,16.44,15.15,16.28,2010-09-01T00:00:00,1283299200000,16.28
16.6,16.94,16.45,16.92,2010-10-01T00:00:00,1285891200000,16.92
16.92,16.93,15.3,15.46,2010-11-01T00:00:00,1288569600000,15.46
15.43,15.46,13.16,13.22,2010-12-01T00:00:00,1291161600000,13.22
13.22,13.56,13.15,13.49,2011-01-03T00:00:00,1294012800000,13.49
13.5,17.09,13.49,17.05,2011-02-01T00:00:00,1296518400000,17.05
17.05,19.65,17.05,19.46,2011-03-01T00:00:00,1298937600000,19.46
16.74,16.85,16.2,16.41,2011-04-01T00:00:00,1301616000000,16.41
16.4,16.59,16.3,16.54,2011-05-02T00:00:00,1304294400000,16.54
16.55,19.25,16.5,19.23,2011-06-01T00:00:00,1306886400000,19.23
20.53,21.42,20.38,21.38,2011-07-01T00:00:00,1309478400000,21.38
21.32,21.75,21.3,21.57,2011-08-01T00:00:00,1312156800000,21.57
21.57,21.59,17.25,17.44,2011-09-01T00:00:00,1314835200000,17.44
17.47,18.09,17.22,18.04,2011-10-03T00:00:00,1317600000000,18.04
18.03,19.17,18.02,19.1,2011-11-01T00:00:00,1320105600000,19.1
19.1,19.1,17.2,17.26,2011-12-01T00:00:00,1322697600000,17.26
17.25,17.36,16.96,17.09,2012-01-03T00:00:00,1325548800000,17.09
17.08,17.1,16.07,16.07,2012-02-01T00:00:00,1328054400000,16.07
16.07,16.08,15.15,15.66,2012-03-01T00:00:00,1330560000000,15.66
15.79,16.24,15.5,15.73,2012-04-02T00:00:00,1333324800000,15.73
15.73,15.75,14.88,15.62,2012-05-01T00:00:00,1335830400000,15.62
15.56,15.78,15.36,15.65,2012-06-01T00:00:00,1338508800000,15.65
15.63,16.87,15.61,16.67,2012-07-02T00:00:00,1341187200000,16.67
17.06,19.4,17.02,18.89,2012-08-01T00:00:00,1343779200000,18.89
18.85,19.02,18.7,18.98,2012-09-04T00:00:00,1346716800000,18.98
18.98,21.26,18.95,21.06,2012-10-01T00:00:00,1349049600000,21.06
21.04,21.28,20.66,20.8,2012-11-01T00:00:00,1351728000000,20.8
20.78,20.8,18.34,18.6,2012-12-03T00:00:00,1354492800000,18.6
18.6,18.6,16.93,17.2,2013-01-02T00:00:00,1357084800000,17.2
17.25,17.39,16.95,16.98,2013-02-01T00:00:00,1359676800000,16.98
17.05,17.11,16.68,16.97,2013-03-01T00:00:00,1362096000000,16.97
16.95,17.68,16.94,17.6,2013-04-01T00:00:00,1364774400000,17.6
18.65,18.79,18.46,18.51,2013-05-01T00:00:00,1367366400000,18.51
18.51,18.52,17.7,18.04,2013-06-03T00:00:00,1370217600000,18.04
18.07,18.07,17.05,17.8,2013-07-01T00:00:00,1372636800000,17.8
17.76,18.24,17.73,17.89,2013-08-01T00:00:00,1375315200000,17.89
17.87,18.25,17.86,18.12,2013-09-03T00:00:00,1378166400000,18.12
18.13,18.8,18.03,18.79,2013-10-01T00:00:00,1380585600000,18.79
18.8,18.95,18.71,18.8,2013-11-01T00:00:00,1383264000000,18.8
18.83,19.45,18.73,19.34,2013-12-02T00:00:00,1385942400000,19.34
19.32,21.14,19.24,21.12,2014-01-02T00:00:00,1388620800000,21.12
21.11,23.25,21.11,23.18,2014-02-03T00:00:00,1391385600000,23.18
23.18,23.61,21.8,23.27,2014-03-03T00:00:00,1393804800000,23.27
23.27,24.32,22.41,22.55,2014-04-01T00:00:00,1396310400000,22.55
22.7,23.03,22.5,22.63,2014-05-01T00:00:00,1398902400000,22.63
22.64,22.64,20.9,21.34,2014-06-02T00:00:00,1401667200000,21.34
21.34,21.62,21.13,21.44,2014-07-01T00:00:00,1404172800000,21.44
21.43,22.35,21.4,22.24,2014-08-01T00:00:00,1406851200000,22.24
22.25,24.59,22.23,24.58,2014-09-02T00:00:00,1409616000000,24.58
24.18,24.37,23.77,23.79,2014-10-01T00:00:00,1412121600000,23.79
23.8,23.81,21.42,21.93,2014-11-03T00:00:00,1414972800000,21.93
21.89,21.93,15.86,15.91,2014-12-01T00:00:00,1417392000000,15.91
15.92,16.19,15.58,16.14,2015-01-02T00:00:00,1420156800000,16.14
16.14,16.15,15.48,15.49,2015-02-02T00:00:00,1422835200000,15.49
15.49,15.65,15.36,15.5,2015-03-02T00:00:00,1425254400000,15.5
15.64,16.38,15.51,16.22,2015-04-01T00:00:00,1427846400000,16.22
16.24,16.45,16.2,16.22,2015-05-01T00:00:00,1430438400000,16.22
16.22,17.01,16.2,16.71,2015-06-01T00:00:00,1433116800000,16.71
16.1,16.48,15.97,16.28,2015-07-01T00:00:00,1435708800000,16.28
16.29,16.55,16.28,16.3,2015-08-03T00:00:00,1438560000000,16.3
16.32,16.39,15.37,15.48,2015-09-01T00:00:00,1441065600000,15.48
15.45,16.1,15.4,15.43,2015-10-01T00:00:00,1443657600000,15.43
15.43,15.75,15.19,15.29,2015-11-02T00:00:00,1446422400000,15.29
15.28,15.3,13.45,13.56,2015-12-01T00:00:00,1448928000000,13.56
13.59,13.78,13.46,13.73,2016-01-04T00:00:00,1451865600000,13.73
13.73,13.98,13.73,13.8,2016-02-01T00:00:00,1454284800000,13.8
13.8,13.9,13.56,13.78,2016-03-01T00:00:00,1456790400000,13.78
13.79,13.85,13.61,13.62,2016-04-01T00:00:00,1459468800000,13.62
13.63,13.63,12.71,12.8,2016-05-02T00:00:00,1462147200000,12.8
12.81,15.58,12.8,15.25,2016-06-01T00:00:00,1464739200000,15.25
15.26,15.47,14.89,15.26,2016-07-01T00:00:00,1467331200000,15.26
15.27,17.2,15.26,16.46,2016-08-01T00:00:00,1470009600000,16.46
16.48,17.05,16.34,16.39,2016-09-01T00:00:00,1472688000000,16.39
16.4,16.4,14.65,14.78,2016-10-03T00:00:00,1475452800000,14.78
14.8,17.24,14.79,16.94,2016-11-01T00:00:00,1477958400000,16.94
16.98,17.44,16.93,17.39,2016-12-01T00:00:00,1480550400000,17.39
17.4,17.41,16.48,16.75,2017-01-03T00:00:00,1483401600000,16.75
16.68,17.08,16.6,16.87,2017-02-01T00:00:00,1485907200000,16.87
16.24,16.36,15.64,15.83,2017-03-01T00:00:00,1488326400000,15.83
15.83,15.84,15.03,15.17,2017-04-03T00:00:00,1491177600000,15.17
15.18,15.67,15.17,15.61,2017-05-01T00:00:00,1493596800000,15.61
16.77,16.79,15.65,15.72,2017-06-01T00:00:00,1496275200000,15.72
15.76,15.8,15.47,15.47,2017-07-03T00:00:00,1499040000000,15.47
15.48,16.79,15.47,16.2,2017-08-01T00:00:00,1501545600000,16.2
16.15,16.39,16.03,16.38,2017-09-01T00:00:00,1504224000000,16.38
16.37,16.85,16.37,16.72,2017-10-02T00:00:00,1506902400000,16.72
16.65,16.85,15.22,15.37,2017-11-01T00:00:00,1509494400000,15.37
15.35,15.65,15.26,15.4,2017-12-01T00:00:00,1512086400000,15.4
15.4,15.44,13.36,13.4,2018-01-02T00:00:00,1514851200000,13.4
13.42,14.16,13.4,14.02,2018-02-01T00:00:00,1517443200000,14.02
14.04,14.31,13.96,14.23,2018-03-01T00:00:00,1519862400000,14.23
14.23,14.54,14.21,14.5,2018-04-02T00:00:00,1522627200000,14.5
14.51,15.68,14.5,15.57,2018-05-01T00:00:00,1525132800000,15.57
15.54,15.61,15.21,15.27,2018-06-01T00:00:00,1527811200000,15.27
15.27,15.27,14.07,14.12,2018-07-02T00:00:00,1530489600000,14.12
14.76,16.55,14.7,16.52,2018-08-01T00:00:00,1533081600000,16.52
16.55,16.64,16.07,16.11,2018-09-04T00:00:00,1536019200000,16.11
16.11,16.12,14.65,14.79,2018-10-01T00:00:00,1538352000000,14.79
14.8,14.95,14.36,14.46,2018-11-01T00:00:00,1541030400000,14.46
14.47,14.47,13.62,13.83,2018-12-03T00:00:00,1543795200000,13.83
13.82,14.39,13.81,14.02,2019-01-02T00:00:00,1546387200000,14.02
14.05,15.47,13.9,15.24,2019-02-01T00:00:00,1548979200000,15.24
15.24,15.24,14.88,15.06,2019-03-01T00:00:00,1551398400000,15.06
15.07,15.99,15.06,15.96,2019-04-01T00:00:00,1554076800000,15.96
16.1,16.54,16.07,16.38,2019-05-01T00:00:00,1556668800000,16.38
16.37,16.39,15.88,16.27,2019-06-03T00:00:00,1559520000000,16.27
16.27,17.5,16.25,17.25,2019-07-01T00:00:00,1561939200000,17.25
17.24,17.66,17.13,17.61,2019-08-01T00:00:00,1564617600000,17.61
17.61,18.34,17.6,18.29,2019-09-03T00:00:00,1567468800000,18.29
